School Code,Teacher,Year,Tree ID,Species Code,50% Bud Burst
AHS,Scott,2008,3,BT,NA
AHS,Scott,2008,4,WO,NA
AHS,Scott,2008,5,RM,127
AHS,Scott,2008,6,CH,NA
AHS,Scott,2008,7,WO,NA
AHS,Scott,2008,8,SA,NA
AHS,Scott,2008,9,CH,113
AHS,Scott,2009,1,PO,128
AHS,Scott,2009,2,RM,101
AHS,Scott,2009,3,SA,107
AHS,Scott,2009,4,CH,133
AHS,Scott,2009,5,BE,NA
AHS,Scott,2009,6,EL,128
AHS,Scott,2010,1,PO,115
AHS,Scott,2010,2,PO,93
AHS,Scott,2010,3,PO,NA
AHS,Scott,2010,4,PO,101
AHS,Scott,2011,1,SA,128
AHS,Scott,2011,2,WO,NA
AHS,Scott,2011,3,WO,NA
AHS,Scott,2011,4,RM,114
AHS,Scott,2011,5,BE,114
AHS,Scott,2011,6,WO,123
AHS,Scott,2011,7,WO,114
AHS,Scott,2011,8,SA,NA
AHS,Scott,2011,9,EL,123
AHS,Scott,2011,10,WO,128
APS,Blewitt,2007,1,WP,NA
APS,Blewitt,2007,2,GB,119
APS,Blewitt,2007,3,GB,119
APS,Blewitt,2007,4,RP,NA
APS,Blewitt,2007,5,BC,108
APS,Blewitt,2007,6,BO,133
APS,Blewitt,2007,7,GB,119
APS,Blewitt,2007,8,TA,133
APS,Blewitt,2007,9,RM,120
APS,Blewitt,2007,10,OT,108
APS,Blewitt,2007,11,OT,108
APS,Blewitt,2007,12,OT,133
APS,Blewitt,2011,7,GB,120
APS,Blewitt,2011,8,TA,111
APS,Blewitt,2011,14,SM,120
APS,Blewitt,2011,16,BO,134
APS,Blewitt,2011,17,BO,132
APS,Blewitt,2011,18,NM,123
APS,Blewitt,2011,19,RM,123
APS,Blewitt,2011,20,BO,132
APS,Blewitt,2011,21,SV,120
APS,Blewitt,2012,5,BC,110
APS,Blewitt,2012,7,GB,110
APS,Blewitt,2012,8,TA,110
APS,Blewitt,2012,14,SM,109
APS,Blewitt,2012,16,BO,110
APS,Blewitt,2012,17,BO,110
APS,Blewitt,2012,18,NM,110
APS,Blewitt,2012,19,RM,110
APS,Blewitt,2012,20,BO,118
APS,Blewitt,2012,21,SV,109
APS,Blewitt,2012,22,RM,109
ARM,Miller,2005,1,YB,116
ARM,Miller,2005,2,CH,159
ARM,Miller,2005,3,RM,117
ARM,Miller,2005,4,RM,128
ARM,Miller,2005,5,CH,126
ARM,Miller,2005,6,WH,117
ARM,Miller,2005,7,RM,122
ARM,Miller,2005,8,BE,128
ARM,Miller,2005,9,OT,119
ARM,Miller,2005,10,BE,130
ARM,Miller,2005,11,HA,110
ARM,Miller,2006,1,YB,116
ARM,Miller,2006,2,AC,134
ARM,Miller,2006,3,RM,127
ARM,Miller,2006,4,RM,123
ARM,Miller,2006,5,AC,124
ARM,Miller,2006,6,WH,116
ARM,Miller,2006,7,RM,110
ARM,Miller,2006,8,AB,129
ARM,Miller,2006,9,RM,110
ARM,Miller,2006,10,AB,134
ARM,Miller,2006,11,HT,103
ARM,Miller,2006,12,WH,NA
ARM,Miller,2007,1,YB,119
ARM,Miller,2007,2,CH,129
ARM,Miller,2007,3,RM,125
ARM,Miller,2007,4,RM,NA
ARM,Miller,2007,5,CH,NA
ARM,Miller,2007,6,WH,119
ARM,Miller,2007,7,RM,NA
ARM,Miller,2007,8,BE,126
ARM,Miller,2007,9,RM,117
ARM,Miller,2007,10,BE,127
ARM,Miller,2007,11,HA,112
ARM,Miller,2008,1,YB,115
ARM,Miller,2008,2,CH,155
ARM,Miller,2008,3,RM,125
ARM,Miller,2008,4,RM,121
ARM,Miller,2008,5,CH,119
ARM,Miller,2008,6,WH,115
ARM,Miller,2008,7,RM,143
ARM,Miller,2008,8,BE,126
ARM,Miller,2008,9,RM,116
ARM,Miller,2008,10,BE,116
ARM,Miller,2008,11,HA,115
ARM,Miller,2009,1,YB,101
ARM,Miller,2009,2,CH,NA
ARM,Miller,2009,3,RM,123
ARM,Miller,2009,4,RM,126
ARM,Miller,2009,5,CH,118
ARM,Miller,2009,6,WH,110
ARM,Miller,2009,7,RM,120
ARM,Miller,2009,8,BE,124
ARM,Miller,2009,9,RM,118
ARM,Miller,2009,10,BE,120
ARM,Miller,2009,12,HA,113
ARM,Miller,2010,1,YB,103
ARM,Miller,2010,2,CH,NA
ARM,Miller,2010,3,RM,108
ARM,Miller,2010,4,RM,112
ARM,Miller,2010,5,CH,117
ARM,Miller,2010,6,WH,103
